iter	RMSE
0	1.704746686
1	1.688726744
2	1.673570221
3	1.659814528
4	1.646699362
5	1.633324966
6	1.620949479
7	1.608239827
8	1.596450084
9	1.585204095
10	1.574719442
11	1.564028293
12	1.554173287
13	1.545792078
14	1.536224613
15	1.526840643
16	1.518097091
17	1.509443051
18	1.502641165
19	1.495864631
20	1.489496904
21	1.483292677
22	1.477019784
23	1.470723535
24	1.465031599
25	1.458851176
26	1.453638743
27	1.448175363
28	1.442864239
29	1.437500828
30	1.433026056
31	1.428256845
32	1.424061836
33	1.420458503
34	1.416261649
35	1.412342535
36	1.408839563
37	1.405065741
38	1.401762711
39	1.39820818
40	1.395145521
41	1.391616984
42	1.388338752
43	1.385646445
44	1.383227036
45	1.380244673
46	1.377737038
47	1.375008148
48	1.371927585
49	1.369577729
50	1.367199065
51	1.364813434
52	1.362422031
53	1.360103269
54	1.358068349
55	1.355769946
56	1.354057318
57	1.352176371
58	1.350110936
59	1.34815232
60	1.346256358
61	1.344348721
62	1.343035211
63	1.340967278
64	1.339595371
65	1.337692987
66	1.335833312
67	1.334168375
68	1.33293659
69	1.331351485
70	1.329822273
71	1.328364087
72	1.32721926
73	1.326009006
74	1.324551956
75	1.323098611
76	1.321541636
77	1.320459117
78	1.318944425
79	1.318002705
80	1.317126357
81	1.315855036
82	1.314788867
83	1.313645979
84	1.312869828
85	1.311867951
86	1.310782264
87	1.309872736
88	1.308804697
89	1.30700469
90	1.305849488
91	1.304847241
92	1.30379559
93	1.302902777
94	1.302238088
95	1.301637742
96	1.300663511
97	1.299765837
98	1.299249926
99	1.298101869
100	1.297347622
101	1.296545831
102	1.295832183
103	1.2947452
104	1.294202915
105	1.293008188
106	1.292608681
107	1.291405446
108	1.290984346
109	1.290453503
110	1.289888985
111	1.289298613
112	1.288425328
113	1.287849091
114	1.28720705
115	1.286381722
116	1.285717129
117	1.285101105
118	1.284051688
119	1.283668576
120	1.2829437
121	1.282455877
122	1.281811153
123	1.281482138
124	1.281241755
125	1.280811604
126	1.280278228
127	1.279318813
128	1.278904751
129	1.278171287
130	1.277702259
131	1.277137233
132	1.276451763
133	1.275503247
134	1.274610525
135	1.27388863
136	1.273364394
137	1.272677869
138	1.27208522
139	1.27138545
140	1.270753365
141	1.270272875
142	1.269598661
143	1.268749669
144	1.268089715
145	1.267472344
146	1.266677972
147	1.266092025
148	1.265552733
149	1.265205613
150	1.264637357
151	1.264214135
152	1.263564072
153	1.262623191
154	1.262315633
155	1.261811109
156	1.261572403
157	1.260849788
158	1.260156271
159	1.259488619
160	1.258832805
161	1.258121525
162	1.257568029
163	1.257190502
164	1.256845388
165	1.256472019
166	1.255603673
167	1.255173477
168	1.254642311
169	1.254390204
170	1.253788039
171	1.253019832
172	1.25278935
173	1.252418865
174	1.25170201
175	1.251259447
176	1.250794327
177	1.250592802
178	1.249966512
179	1.24960394
180	1.249252459
181	1.248877741
182	1.248214972
183	1.247794554
184	1.247577977
185	1.247423137
186	1.247054952
187	1.246597386
188	1.246272802
189	1.246063242
190	1.245820173
191	1.245463646
192	1.244993505
193	1.244743579
194	1.244288463
195	1.243737088
196	1.242983659
197	1.24260792
198	1.242040092
199	1.241127129
200	1.24081087
201	1.24024288
202	1.239798954
203	1.23922836
204	1.238772208
205	1.237938533
206	1.237094201
207	1.236528451
208	1.236342063
209	1.235540038
210	1.235280645
211	1.234991029
212	1.234725739
213	1.234360989
214	1.233697365
215	1.233273791
216	1.232948992
217	1.232423611
218	1.23198831
219	1.231512396
220	1.23112293
221	1.230849449
222	1.230489711
223	1.229897762
224	1.229405415
225	1.229105788
226	1.22872215
227	1.228431585
228	1.227977616
229	1.22763359
230	1.22732505
231	1.226973705
232	1.226744815
233	1.226423228
234	1.226148757
235	1.225666615
236	1.225194074
237	1.224735976
238	1.224418457
239	1.223706355
240	1.223076838
241	1.222694876
242	1.221939799
243	1.221490263
244	1.220823806
245	1.220054454
246	1.219228784
247	1.218505757
248	1.218216879
249	1.218017429
250	1.217493243
251	1.217073131
252	1.216805759
253	1.216667935
254	1.216089163
255	1.215836176
256	1.215662144
257	1.215206575
258	1.214957239
259	1.214150187
260	1.213651477
261	1.213229868
262	1.212807392
263	1.21215328
264	1.211961063
265	1.211396971
266	1.211022021
267	1.210514116
268	1.209795369
269	1.209301907
270	1.208987825
271	1.208526873
272	1.207900787
273	1.207319962
274	1.206921802
275	1.206474334
276	1.206195595
277	1.205622298
278	1.205009369
279	1.20461059
280	1.203914226
281	1.203406307
282	1.202457984
283	1.202080351
284	1.201906598
285	1.201604263
286	1.201015159
287	1.20064336
288	1.200133302
289	1.199658023
290	1.199377716
291	1.199033512
292	1.198852527
293	1.197913523
294	1.19758631
295	1.197136074
296	1.196879881
297	1.196544654
298	1.195877778
299	1.195141793
300	1.194835226
301	1.194722423
302	1.19430604
303	1.193722877
304	1.193358979
305	1.192941676
306	1.192593703
307	1.19220769
308	1.191605754
309	1.191048208
310	1.190486119
311	1.190078166
312	1.189701154
313	1.189162735
314	1.188662911
315	1.188088872
316	1.187674866
317	1.187028303
318	1.186479039
319	1.185976823
320	1.185561893
321	1.185158014
322	1.184529381
323	1.183779773
324	1.18342024
325	1.18287291
326	1.182559539
327	1.182183701
328	1.181846441
329	1.181086989
330	1.180823321
331	1.180387614
332	1.17999268
333	1.179559211
334	1.179004928
335	1.178517786
336	1.178303462
337	1.178027051
338	1.177622032
339	1.176987509
340	1.176606808
341	1.176215917
342	1.175816372
343	1.175216237
344	1.174774616
345	1.17439837
346	1.173673006
347	1.1729471
348	1.172606738
349	1.171889804
350	1.171732409
351	1.171393985
352	1.170675509
353	1.170352659
354	1.169885706
355	1.169231365
356	1.168966979
357	1.16851411
358	1.168200957
359	1.167783586
360	1.167380834
361	1.166657744
362	1.166226503
363	1.165732068
364	1.165296643
365	1.165028205
366	1.164715591
367	1.164002055
368	1.163331847
369	1.163045346
370	1.16283122
371	1.162376694
372	1.161784096
373	1.161510885
374	1.160937905
375	1.160269927
376	1.159819775
377	1.15928884
378	1.158848569
379	1.158150398
380	1.157619055
381	1.157350986
382	1.156898264
383	1.156180646
384	1.155629778
385	1.155458587
386	1.154822082
387	1.154406011
388	1.153422223
389	1.152817908
390	1.152006394
391	1.151574135
392	1.151213881
393	1.150668609
394	1.150060498
395	1.149646861
396	1.149288268
397	1.148775198
398	1.148240402
399	1.147629409
400	1.147129334
401	1.146942952
402	1.146452805
403	1.145733081
404	1.145007843
405	1.14487917
406	1.144476543
407	1.143969774
408	1.143039755
409	1.142686563
410	1.142344904
411	1.141692439
412	1.141221106
413	1.140714093
414	1.140502344
415	1.139936588
416	1.139226115
417	1.138673301
418	1.138239682
419	1.137793909
420	1.137514467
421	1.136699123
422	1.136428727
423	1.13586175
424	1.135268903
425	1.134815788
426	1.134045085
427	1.133437224
428	1.132952934
429	1.132476578
430	1.131758215
431	1.131037907
432	1.130452641
433	1.129823742
434	1.12939128
435	1.128849689
436	1.128232228
437	1.127814844
438	1.127412094
439	1.127298838
440	1.126723401
441	1.126278343
442	1.125632646
443	1.124741096
444	1.124328452
445	1.123678301
446	1.123243003
447	1.12284674
448	1.122794757
449	1.122205928
450	1.121641233
451	1.121127502
452	1.120771604
453	1.120396051
454	1.11996426
455	1.119533458
456	1.119194296
457	1.119151372
458	1.118529873
459	1.118121562
460	1.117732415
461	1.117163299
462	1.116797858
463	1.116417149
464	1.116247684
465	1.115883717
466	1.115406363
467	1.11475164
468	1.114161884
469	1.113701055
470	1.113502854
471	1.113116219
472	1.112542547
473	1.111899966
474	1.111177429
475	1.110654391
476	1.110469684
477	1.110289168
478	1.109895916
479	1.109698026
480	1.109352819
481	1.108997764
482	1.108487862
483	1.108452468
484	1.107996525
485	1.10751899
486	1.107068705
487	1.106502182
488	1.105970752
489	1.105787322
490	1.105743757
491	1.105411897
492	1.104871127
493	1.104340177
494	1.104006543
495	1.103954329
496	1.103497847
497	1.103446991
498	1.102856277
499	1.102626801
500	1.102104655
501	1.102027247
502	1.101585495
503	1.10136682
504	1.100597674
505	1.100151062
506	1.099591401
507	1.09904869
508	1.098763049
509	1.098267896
510	1.097894282
511	1.097652617
512	1.097386318
513	1.096806466
514	1.096477516
515	1.09621488
516	1.095719305
517	1.095563533
518	1.095157826
519	1.094751343
520	1.094317524
521	1.093636922
522	1.093536074
523	1.093132735
524	1.092913503
525	1.092387816
526	1.091891972
527	1.091552822
528	1.09150804
529	1.091136626
530	1.091110733
531	1.090687244
532	1.089927812
533	1.089367273
534	1.088772403
535	1.088160138
536	1.088069268
537	1.087500605
538	1.087023942
539	1.086478576
540	1.086062589
541	1.085722081
542	1.085288794
543	1.08483141
544	1.084627434
545	1.08394591
546	1.083482388
547	1.0829444
548	1.082763531
549	1.082398726
550	1.082005898
551	1.081357747
552	1.080941887
553	1.080400597
554	1.080093103
555	1.079668521
556	1.079281043
557	1.078811352
558	1.078542872
559	1.078511854
560	1.077984538
561	1.077452101
562	1.076899046
563	1.076178459
564	1.075752083
565	1.075282156
566	1.074777674
567	1.074254142
568	1.073563599
569	1.073178137
570	1.072756628
571	1.072458971
572	1.072134835
573	1.07163345
574	1.0712705
575	1.071016684
576	1.070623611
577	1.070229611
578	1.069685807
579	1.069396306
580	1.068821006
581	1.068309441
582	1.068091787
583	1.067990722
584	1.0677435
585	1.067392885
586	1.066970307
587	1.066795724
588	1.066517374
589	1.066191277
590	1.065732278
591	1.065269236
592	1.064786802
593	1.064392722
594	1.064048888
595	1.063670733
596	1.06334539
597	1.062758294
598	1.062500312
599	1.062063256
600	1.061933884
601	1.061803618
602	1.061372867
603	1.061132564
604	1.061095597
605	1.060811899
606	1.060485914
607	1.060108348
608	1.060074553
609	1.059821631
610	1.059429685
611	1.0590214
612	1.058829575
613	1.058393284
