iter	Passed	Remaining
0	10	32773
1	16	25000
2	22	22282
3	27	20831
4	33	19993
5	39	19555
6	44	19093
7	50	18843
8	56	18628
9	61	18505
10	67	18306
11	72	18092
12	78	18014
13	83	17871
14	89	17749
15	94	17690
16	100	17606
17	105	17513
18	111	17462
19	116	17387
20	122	17338
21	127	17266
22	133	17236
23	138	17224
24	144	17173
25	149	17109
26	154	17063
27	160	17005
28	165	16952
29	170	16913
30	176	16905
31	182	16885
32	187	16855
33	193	16838
34	198	16821
35	204	16805
36	209	16802
37	215	16787
38	220	16752
39	226	16729
40	232	16778
41	238	16780
42	243	16756
43	249	16741
44	254	16724
45	260	16715
46	265	16692
47	271	16682
48	276	16667
49	283	16698
50	288	16681
51	293	16659
52	299	16650
53	304	16635
54	310	16613
55	315	16604
56	321	16586
57	326	16586
58	333	16616
59	338	16601
60	344	16580
61	349	16574
62	354	16549
63	360	16541
64	366	16536
65	371	16526
66	377	16504
67	382	16484
68	387	16456
69	392	16447
70	398	16425
71	404	16430
72	409	16415
73	414	16388
74	419	16369
75	425	16369
76	431	16364
77	436	16342
78	441	16330
79	446	16314
80	452	16296
81	457	16279
82	462	16264
83	467	16242
84	473	16232
85	478	16214
86	483	16202
87	489	16185
88	494	16171
89	499	16163
90	505	16160
91	510	16146
92	516	16136
93	521	16128
94	527	16116
95	532	16102
96	537	16091
97	543	16084
98	548	16069
99	553	16059
100	558	16044
101	564	16031
102	569	16025
103	574	16011
104	580	16003
105	585	15991
106	590	15972
107	595	15958
108	601	15943
109	606	15929
110	611	15925
111	617	15913
112	622	15903
113	627	15890
114	633	15883
115	638	15873
116	644	15875
117	649	15862
118	654	15851
119	659	15839
120	665	15829
121	670	15813
122	675	15804
123	681	15801
124	686	15787
125	691	15773
126	696	15758
127	701	15749
128	707	15740
129	712	15731
130	717	15723
131	723	15711
132	728	15709
133	734	15711
134	740	15704
135	745	15700
136	750	15683
137	755	15672
138	760	15661
139	766	15653
140	772	15655
141	777	15643
142	782	15631
143	787	15624
144	793	15615
145	798	15613
146	804	15610
147	809	15605
148	815	15596
149	820	15585
150	825	15570
151	830	15557
152	835	15548
153	841	15542
154	846	15528
155	851	15516
156	856	15503
157	861	15496
158	866	15484
159	871	15474
160	877	15465
161	882	15455
162	887	15451
163	892	15438
164	897	15426
165	903	15422
166	908	15415
167	913	15406
168	919	15394
169	924	15383
170	929	15373
171	934	15361
172	939	15346
173	944	15338
174	949	15330
175	954	15319
176	960	15314
177	965	15303
178	970	15294
179	975	15283
180	980	15273
181	985	15265
182	991	15265
183	997	15260
184	1002	15252
185	1007	15240
186	1012	15228
187	1017	15220
188	1022	15214
189	1028	15205
190	1033	15199
191	1038	15194
192	1044	15187
193	1049	15180
194	1054	15172
195	1059	15161
196	1064	15152
197	1070	15145
198	1075	15135
199	1080	15127
200	1085	15115
201	1090	15105
202	1095	15096
203	1101	15091
204	1106	15086
205	1112	15083
206	1117	15081
207	1122	15071
208	1127	15060
209	1133	15056
210	1138	15047
211	1143	15038
212	1148	15031
213	1154	15024
214	1159	15015
215	1164	15008
216	1169	15000
217	1174	14992
218	1179	14983
219	1185	14977
220	1190	14973
221	1195	14964
222	1201	14957
223	1206	14952
224	1211	14945
225	1216	14935
226	1221	14927
227	1226	14915
228	1231	14905
229	1236	14894
230	1242	14887
231	1247	14882
232	1252	14871
233	1257	14864
234	1262	14858
235	1268	14852
236	1273	14843
237	1278	14839
238	1283	14830
239	1288	14823
240	1294	14816
241	1299	14809
242	1304	14805
243	1310	14800
244	1315	14797
245	1321	14789
246	1326	14783
247	1331	14776
248	1336	14768
249	1341	14759
250	1347	14753
251	1352	14744
252	1357	14738
253	1362	14729
254	1367	14724
255	1372	14715
256	1378	14708
257	1383	14702
258	1388	14694
259	1393	14688
260	1399	14682
261	1404	14674
262	1409	14666
263	1414	14662
264	1419	14652
265	1425	14646
266	1430	14642
267	1435	14633
268	1440	14627
269	1446	14620
270	1451	14612
271	1456	14606
272	1461	14598
273	1467	14595
274	1472	14586
275	1477	14579
276	1482	14571
277	1487	14567
278	1492	14559
279	1497	14551
280	1503	14547
281	1508	14539
282	1513	14532
283	1518	14526
284	1523	14516
285	1529	14510
286	1534	14506
287	1539	14500
288	1544	14492
289	1550	14484
290	1555	14476
291	1560	14469
292	1565	14461
293	1570	14456
294	1575	14450
295	1581	14445
296	1586	14438
297	1591	14434
298	1597	14430
299	1603	14427
300	1608	14422
301	1613	14415
302	1618	14409
303	1623	14402
304	1629	14395
305	1634	14391
306	1640	14387
307	1645	14382
308	1650	14377
309	1656	14372
310	1661	14367
311	1666	14361
312	1672	14357
313	1677	14351
314	1682	14344
315	1687	14336
316	1693	14329
317	1698	14324
318	1703	14318
319	1708	14311
320	1713	14304
321	1720	14310
322	1726	14305
323	1731	14300
324	1736	14294
325	1742	14290
326	1747	14281
327	1752	14275
328	1757	14269
329	1762	14263
330	1768	14256
331	1773	14251
332	1778	14244
333	1783	14236
334	1788	14230
335	1793	14223
336	1799	14216
337	1804	14209
338	1809	14203
339	1814	14198
340	1819	14191
341	1825	14186
342	1830	14179
343	1835	14175
344	1841	14168
345	1846	14164
346	1851	14157
347	1856	14151
348	1861	14143
349	1866	14135
350	1871	14126
351	1877	14120
352	1882	14113
353	1887	14107
354	1892	14100
355	1897	14093
356	1902	14085
357	1907	14080
358	1913	14075
359	1918	14069
360	1923	14061
361	1929	14057
362	1934	14052
363	1939	14046
364	1944	14040
365	1950	14035
366	1955	14028
367	1960	14022
368	1966	14017
369	1971	14011
370	1976	14003
371	1981	13997
372	1986	13993
373	1991	13986
374	1997	13980
375	2002	13977
376	2008	13971
377	2013	13967
378	2018	13961
379	2024	13956
380	2029	13949
381	2034	13941
382	2039	13935
383	2044	13929
384	2049	13923
385	2055	13919
386	2060	13914
387	2066	13909
388	2071	13903
389	2076	13898
390	2082	13894
391	2087	13888
392	2092	13881
393	2097	13874
394	2103	13869
395	2108	13863
396	2113	13857
397	2118	13852
398	2124	13847
399	2129	13843
400	2135	13838
401	2140	13830
402	2145	13824
403	2150	13818
404	2156	13814
405	2160	13806
406	2166	13800
407	2171	13793
408	2176	13787
409	2181	13781
410	2186	13774
411	2191	13767
412	2196	13760
413	2202	13755
414	2207	13748
415	2212	13742
416	2217	13736
417	2222	13729
418	2227	13723
419	2232	13716
420	2238	13712
421	2243	13708
422	2249	13703
423	2254	13698
424	2259	13692
425	2265	13686
426	2270	13680
427	2275	13675
428	2281	13670
429	2286	13664
430	2291	13658
431	2296	13653
432	2301	13647
433	2307	13641
434	2312	13636
435	2317	13630
436	2323	13626
437	2328	13621
438	2333	13614
439	2339	13609
440	2344	13605
441	2350	13602
442	2356	13599
443	2361	13594
444	2366	13589
445	2372	13584
446	2377	13578
447	2382	13574
448	2387	13566
449	2393	13561
450	2398	13555
451	2403	13550
452	2408	13544
453	2414	13537
454	2419	13531
455	2425	13531
456	2431	13529
457	2436	13525
458	2442	13523
459	2449	13523
460	2455	13526
461	2462	13526
462	2468	13527
463	2474	13525
464	2480	13523
465	2486	13521
466	2492	13519
467	2498	13518
468	2505	13519
469	2510	13514
470	2515	13507
471	2520	13502
472	2526	13497
473	2532	13494
474	2537	13489
475	2543	13485
476	2548	13480
477	2553	13473
478	2558	13467
479	2564	13461
480	2569	13455
481	2574	13449
482	2580	13445
483	2584	13437
484	2590	13432
485	2595	13427
486	2600	13420
487	2605	13414
488	2611	13408
489	2616	13401
490	2621	13393
491	2626	13388
492	2631	13382
493	2637	13377
494	2642	13373
495	2647	13366
496	2652	13359
497	2657	13351
498	2662	13346
499	2667	13339
500	2673	13335
501	2678	13329
502	2684	13326
503	2689	13320
504	2694	13314
505	2700	13309
506	2706	13306
507	2711	13300
508	2716	13294
509	2721	13289
510	2727	13283
511	2732	13277
512	2737	13270
513	2742	13264
514	2747	13257
515	2752	13251
516	2758	13246
517	2763	13240
518	2768	13233
