target_transform,model_family,model_name,checkpoint_path,num_features,missing_keys_count,unexpected_keys_count,val_mae,val_rmse,val_r2,val_spearman,val_median_ae,test_mae,test_rmse,test_r2,test_spearman,test_median_ae
raw_target,transformer_pretrained,best_model,Z:\Bloodcounts\FBC-Transformer\artifacts\blood_foundation_v2_20260420_072236\checkpoints\best_model.pt,321,0.0,0.0,1055.931640625,2389.772216796875,0.19145876169204712,0.5888815852528132,384.2322998046875,1348.048583984375,2957.71533203125,0.17729222774505615,0.6145125732629169,526.718017578125
raw_target,transformer_scratch,transformer_scratch,,321,0.0,0.0,1020.3201293945312,2362.538330078125,0.20978212356567383,0.5872079087263372,398.45635986328125,1280.681884765625,2883.74072265625,0.2179306149482727,0.6082722810195333,522.561767578125
raw_target,baseline,mlp_regressor,,321,,,1003.1531982421875,2388.409912109375,0.19238024950027466,0.5753605872911907,364.0753173828125,1203.66064453125,2934.3388671875,0.19024550914764404,0.6386777097536919,418.971435546875
raw_target,baseline,xgboost,,321,,,930.0486450195312,2044.247314453125,0.4083620309829712,0.6344465353471297,389.3712158203125,1100.9344482421875,2409.942138671875,0.4538070559501648,0.6856156184600114,471.30780029296875
raw_target,baseline,lightgbm,,321,,,894.6120594949276,1977.1273986473611,0.44657532405631606,0.6412820519867344,371.1084604158781,1051.696411002224,2329.719413827855,0.489565428868473,0.6960240122512403,435.52303839488525
raw_target,baseline,catboost,,321,,,954.3067704687417,2069.7969234810435,0.3934806169129038,0.6143979452275045,412.4774474866176,1148.588771933857,2458.6942937999033,0.4314850231748154,0.6621711594456979,519.9932720225033
log1p_target,transformer_pretrained,best_model,Z:\Bloodcounts\FBC-Transformer\artifacts\blood_foundation_v2_20260420_072236\checkpoints\best_model.pt,321,0.0,0.0,952.6956787109375,2409.026611328125,0.17837727069854736,0.642304060426265,267.3927917480469,1202.8438720703125,2968.645751953125,0.17120015621185303,0.6730021479364588,368.001953125
log1p_target,transformer_scratch,transformer_scratch,,321,0.0,0.0,963.7604370117188,2469.654541015625,0.13650137186050415,0.635460866471361,257.777587890625,1240.4984130859375,3054.494140625,0.12257206439971924,0.6590030203757239,364.8713073730469
log1p_target,baseline,mlp_regressor,,321,,,1053.6614990234375,4181.45654296875,-1.4753949642181396,0.624721701760106,265.06707763671875,1311.2799072265625,5419.5048828125,-1.762181043624878,0.675652688514521,341.5103759765625
log1p_target,baseline,xgboost,,321,,,846.7736206054688,2298.3212890625,0.25215643644332886,0.7093854983940358,215.56988525390625,1051.4869384765625,2820.9443359375,0.25162041187286377,0.7508015490177021,272.5326843261719
log1p_target,baseline,lightgbm,,321,,,843.0891689804431,2289.3234368817707,0.258000578923653,0.7135704265424773,214.5053582147446,1046.3601766668482,2803.621631959048,0.2607833730737439,0.7546129374492929,270.197480976332
log1p_target,baseline,catboost,,321,,,871.5614944942175,2351.4888215554606,0.21715623892823788,0.6981276670932862,225.05653862828314,1091.7573195401633,2896.653319661747,0.21091104679386707,0.7402048186207756,286.3680769230435
